[20:03:34] [INFO] received Windows console close event; shutting log-core down
[17:45:48] [INFO] received Windows console close event; shutting log-core down
[10:39:25] [INFO] received Windows console close event; shutting log-core down
[10:41:54] [INFO] received Windows console close event; shutting log-core down
[10:43:49] [INFO] received Windows console close event; shutting log-core down
[10:44:37] [INFO] received Windows console close event; shutting log-core down
[10:45:10] [INFO] received Windows console close event; shutting log-core down
[13:44:28] [INFO] received Windows console close event; shutting log-core down
[18:28:39] [INFO] received Windows console close event; shutting log-core down
[13:01:57] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[19:29:27] [INFO] received Windows console close event; shutting log-core down
[09:46:32] [INFO] received Windows console close event; shutting log-core down
[12:34:39] [INFO] received Windows console close event; shutting log-core down
[13:10:53] [INFO] received Windows console close event; shutting log-core down
[17:33:44] [INFO] received Windows console close event; shutting log-core down
[14:15:33] [INFO] received Windows console close event; shutting log-core down
[15:57:17] [INFO] received Windows console close event; shutting log-core down
[20:38:56] [INFO] received Windows console close event; shutting log-core down
[10:07:26] [INFO] received Windows console close event; shutting log-core down
[17:16:05] [INFO] received Windows console close event; shutting log-core down
[17:30:05] [INFO] received Windows console close event; shutting log-core down
[17:32:43] [INFO] received Windows console close event; shutting log-core down
[18:07:42] [INFO] received Windows console close event; shutting log-core down
[18:19:50] [INFO] received Windows console close event; shutting log-core down
[18:19:59] [INFO] received Windows console close event; shutting log-core down
[18:21:21] [INFO] received Windows console close event; shutting log-core down
[18:28:25] [INFO] received Windows console close event; shutting log-core down
[18:30:13] [INFO] received Windows console close event; shutting log-core down
[18:37:08] [INFO] received Windows console close event; shutting log-core down
[18:59:33] [INFO] received Windows console close event; shutting log-core down
[19:10:53] [INFO] received Windows console close event; shutting log-core down
[19:33:39] [INFO] received Windows console close event; shutting log-core down
[10:16:23] [INFO] received Windows console close event; shutting log-core down
[10:30:10] [INFO] received Windows console close event; shutting log-core down
[11:16:56] [ERROR] exception 0XC0000094 (INTEGER_DIVIDE_BY_ZERO) from Vectored Exception Handler catched; shutting log-core down
[11:18:19] [INFO] received Windows console close event; shutting log-core down
[11:45:33] [INFO] received Windows console close event; shutting log-core down
